rental_id,car_id,state,pro_owner,country,city,parking_type,distance,booking_start_time,booking_end_time,unlock_time,avg_access_rating
5622129,671532,ended,0,FR,Paris,public,285,2020-01-02 10:00:00,2020-01-02 19:00:00,2020-01-02 10:14:00,
5622130,557654,ended,1,FR,Toulouse,public,862,2020-01-04 16:00:00,2020-01-10 16:00:00,2020-01-04 16:02:00,
5622131,675504,ended,1,FR,Paris,private,3,2020-01-01 0:30:00,2020-01-01 10:30:00,2020-01-01 0:57:00,4.65
5622132,646689,ended,1,GB,Greater London,private,1,2020-01-01 7:30:00,2020-01-01 23:30:00,2020-01-01 9:16:00,4.7273
5622133,480900,booked_canceled_driver,0,BE,Antwerpen,public,,2020-01-01 0:30:00,2020-01-01 23:30:00,,
5622134,655429,booked_canceled_driver,0,AT,Wien,public,,2020-01-04 7:30:00,2020-01-04 19:00:00,,
5622135,480900,booked_canceled_owner,0,BE,Antwerpen,public,,2020-01-01 0:30:00,2020-01-02 0:30:00,,
5622136,437194,booked_canceled_driver,1,FR,Arcueil,private,,2020-01-01 6:00:00,2020-01-01 21:30:00,,4.3636
5622137,674952,ended,0,FR,Courbevoie,public,385,2020-01-01 1:00:00,2020-01-01 6:00:00,2020-01-01 1:31:00,
5622138,604347,ended,1,FR,Montpellier,public,222,2020-01-04 17:00:00,2020-01-04 20:00:00,2020-01-04 17:02:00,
5622139,659232,booked_canceled_driver,1,FR,Paris,public,,2020-01-02 13:00:00,2020-01-02 17:00:00,,
5622142,641268,booked_canceled_owner,0,FR,Saint-Ouen,public,,2020-01-01 1:00:00,2020-01-02 1:00:00,,
5622143,452073,ended,0,FR,Aix-en-Provence,private,52,2020-01-01 12:00:00,2020-01-01 22:30:00,2020-01-01 12:06:00,4.7463
5622145,565779,ended,0,GB,London,public,313,2020-01-02 10:00:00,2020-01-03 12:00:00,2020-01-02 11:10:00,
5622146,695692,ended,0,FR,Maisons-Laffitte,public,260,2020-01-01 2:30:00,2020-01-01 7:30:00,2020-01-01 2:43:00,
5622148,682564,ended,1,FR,Boulogne-Billancourt,private,49,2020-01-02 7:00:00,2020-01-04 9:00:00,2020-01-02 7:21:00,4.7778
5622149,708192,booked_canceled_driver,0,BE,Ganshoren,public,,2020-01-01 1:30:00,2020-01-01 2:30:00,,
5622151,696263,booked_canceled_driver,0,FR,Montreuil,public,,2020-01-18 9:00:00,2020-01-19 9:00:00,,
5622152,537516,ended,1,GB,London,public,44,2020-01-01 2:00:00,2020-01-02 3:00:00,2020-01-01 2:43:00,
5622153,449510,ended,1,FR,Paris,private,2,2020-01-01 9:00:00,2020-01-01 20:00:00,2020-01-01 9:38:00,5
5622154,649016,ended,1,FR,Paris,public,196,2020-01-06 5:00:00,2020-01-07 5:00:00,2020-01-06 6:33:00,
5622155,686915,booked_canceled_driver,1,BE,Forest,public,,2020-01-01 3:00:00,2020-01-01 5:00:00,,
5622156,533192,booked_canceled_driver,0,FR,Paris,public,,2020-01-03 7:00:00,2020-01-05 19:00:00,,
5622157,546889,ended,0,FR,Paris,public,281,2020-01-01 4:30:00,2020-01-01 18:30:00,2020-01-01 5:40:00,
5622158,633574,ended,0,FR,Savigny-sur-Orge,public,422,2020-01-02 7:30:00,2020-01-05 19:00:00,2020-01-02 7:31:00,
5622159,671963,ended,0,BE,Forest,public,313,2020-01-02 13:30:00,2020-01-02 18:30:00,2020-01-02 13:42:00,
5622160,686915,booked_canceled_driver,1,BE,Forest,public,,2020-01-01 3:30:00,2020-01-01 5:00:00,,
5622161,540623,ended,0,FR,Ivry-sur-Seine,public,1051,2020-01-01 15:30:00,2020-01-02 17:30:00,2020-01-01 15:31:00,
5622162,699273,ended,1,DE,Berlin,public,257,2020-01-17 7:30:00,2020-01-20 19:00:00,2020-01-17 7:31:00,
5622163,436547,ended,1,FR,Arcueil,private,12,2020-01-01 12:00:00,2020-01-02 14:00:00,2020-01-01 12:34:00,4.2647
5622165,710389,ended,0,ES,Barcelona,private,35,2020-01-01 10:30:00,2020-01-02 12:30:00,2020-01-01 12:40:00,4.9545
5622166,528517,ended,1,FR,Paris,private,44,2020-01-01 2:30:00,2020-01-01 6:00:00,2020-01-01 2:41:00,4.8507
5622167,682049,ended,0,GB,London,private,35,2020-01-01 17:30:00,2020-01-01 23:30:00,2020-01-01 19:14:00,5
5622168,528500,ended,0,FR,Lyon,public,427,2020-01-03 11:30:00,2020-01-09 10:30:00,2020-01-03 11:50:00,
5622169,688693,ended,1,FR,Gennevilliers,public,154,2020-01-02 11:00:00,2020-01-09 13:00:00,2020-01-02 11:23:00,
5622170,572076,booked_canceled_driver,0,FR,Champigny-sur-Marne,public,,2020-01-01 18:00:00,2020-01-03 22:30:00,,
5622171,441018,ended,0,FR,Paris,public,112,2020-01-01 3:00:00,2020-01-01 9:00:00,2020-01-01 3:23:00,
5622172,710423,ended,1,ES,Barcelona,public,492,2020-01-04 2:30:00,2020-01-07 2:30:00,2020-01-04 2:33:00,
5622173,562647,ended,0,FR,Maisons-Alfort,public,210,2020-01-04 9:00:00,2020-01-04 18:00:00,2020-01-04 9:07:00,
5622174,602026,ended,0,FR,Paris,private,52,2020-01-01 13:30:00,2020-01-16 15:30:00,2020-01-01 13:47:00,5
5622175,108537,booked_canceled_driver,0,FR,Le Perreux-sur-Marne,public,,2020-01-01 14:30:00,2020-01-01 17:30:00,,
5622176,369958,booked_canceled_owner,1,FR,Torcy,public,,2020-01-01 5:30:00,2020-01-02 5:30:00,,
5622177,624518,ended,0,GB,London,public,143,2020-01-02 8:00:00,2020-01-07 10:00:00,2020-01-02 8:06:00,
5622178,482849,booked_canceled_driver,0,FR,Montigny-le-Bretonneux,public,,2020-01-01 3:30:00,2020-01-01 15:00:00,,
5622179,566823,booked_canceled_driver,0,FR,Bordeaux,public,,2020-01-01 5:00:00,2020-01-01 16:30:00,,
5622180,482849,booked_canceled_driver,0,FR,Montigny-le-Bretonneux,public,,2020-01-01 4:00:00,2020-01-01 11:00:00,,
5622181,498497,ended,1,GB,London,public,232,2020-01-04 9:00:00,2020-01-05 23:30:00,2020-01-04 15:06:00,
5622182,399750,ended,0,FR,La Garenne-Colombes,public,459,2020-01-02 11:00:00,2020-01-03 13:00:00,2020-01-02 12:36:00,
5622183,500998,booked_canceled_driver,1,FR,Eysines,private,,2020-01-01 11:00:00,2020-01-02 18:30:00,,4.3226
5622184,505146,booked_canceled_owner,0,FR,Marseille,public,,2020-01-01 8:00:00,2020-01-01 20:00:00,,
5622185,427896,ended,1,FR,Paris,private,53,2020-01-04 15:00:00,2020-01-05 16:00:00,2020-01-04 15:01:00,4.55
5622186,624758,booked_canceled_driver,0,ES,Val‚àö¬Æncia,public,,2020-01-01 4:30:00,2020-01-01 10:30:00,,
5622187,370190,ended,1,FR,Paris,private,7,2020-01-01 23:30:00,2020-01-03 21:00:00,2020-01-02 0:45:00,4.2745
5622188,528301,ended,0,FR,Lyon,public,859,2020-01-01 13:00:00,2020-01-04 15:00:00,2020-01-01 13:26:00,
5622189,417768,ended,0,FR,Paris,public,232,2020-01-01 18:00:00,2020-01-07 0:30:00,2020-01-01 18:29:00,
5622190,433188,booked_canceled_driver,1,FR,Boulogne-Billancourt,private,,2020-01-02 15:00:00,2020-01-03 16:00:00,,4.8491
5622191,405244,booked_canceled_driver,0,FR,Paris,public,,2020-01-01 18:00:00,2020-01-03 15:00:00,,
5622192,572759,booked_canceled_driver,0,FR,Paris,public,,2020-01-01 5:30:00,2020-01-02 17:00:00,,
5622193,693017,ended,1,FR,Toulon,public,178,2020-01-05 13:30:00,2020-01-07 14:00:00,2020-01-05 13:32:00,
5622196,611515,ended,0,FR,Boulogne-Billancourt,public,80,2020-01-02 9:00:00,2020-01-02 19:00:00,2020-01-02 9:03:00,
5622197,592885,ended,1,FR,Bezons,,160,2020-01-04 9:00:00,2020-01-05 11:00:00,2020-01-04 9:01:00,
5622198,335701,ended,1,FR,Paris,private,34,2020-01-03 20:30:00,2020-01-12 21:30:00,2020-01-03 20:31:00,4.6053
5622199,699284,ended,1,FR,Marseille,public,284,2020-01-01 9:00:00,2020-01-01 19:00:00,2020-01-01 9:12:00,
5622200,527441,ended,1,DE,M‚àö¬∫nchen,public,147,2020-01-04 11:00:00,2020-01-05 13:00:00,2020-01-04 11:02:00,
5622201,527285,ended,1,FR,Malakoff,private,12,2020-01-04 8:00:00,2020-01-04 22:00:00,2020-01-04 8:44:00,4.8611
5622202,556291,ended,1,FR,Malakoff,private,48,2020-01-11 10:00:00,2020-01-12 19:00:00,2020-01-11 14:28:00,4.4737
5622203,456106,ended,1,GB,London,private,20,2020-01-01 7:30:00,2020-01-02 9:30:00,2020-01-01 7:34:00,4.5652
5622204,308441,booked_canceled_owner,1,FR,Avignon,public,,2020-01-01 11:00:00,2020-01-02 11:00:00,,
5622205,675776,ended,0,GB,London,public,287,2020-01-01 15:00:00,2020-01-02 15:00:00,2020-01-01 15:23:00,
5622207,517829,ended,1,FR,Toulouse,public,996,2020-01-01 10:00:00,2020-01-01 19:00:00,2020-01-01 10:25:00,
5622208,567923,ended,0,FR,Paris,public,135,2020-02-19 7:30:00,2020-02-22 22:00:00,2020-02-19 7:49:00,
5622209,487473,ended,1,FR,Lyon,private,37,2020-01-01 12:30:00,2020-01-01 17:00:00,2020-01-01 12:31:00,4.9057
5622213,491376,ended,1,DE,Berlin,public,1159,2020-01-02 9:00:00,2020-01-02 13:00:00,2020-01-02 9:24:00,
5622214,579818,ended,1,DE,Berlin,public,244,2020-01-01 9:00:00,2020-01-02 11:00:00,2020-01-01 9:45:00,
5622215,407144,ended,1,FR,Montpellier,public,395,2020-01-01 13:00:00,2020-01-03 19:30:00,2020-01-01 13:09:00,
5622216,365512,booked_canceled_driver,0,FR,Paris,public,,2020-01-01 10:30:00,2020-01-01 17:30:00,,
5622217,487032,ended,0,FR,Nantes,public,2001,2020-01-01 9:00:00,2020-01-01 21:00:00,2020-01-01 9:27:00,
5622218,679094,ended,1,ES,Barcelona,private,39,2020-01-01 10:00:00,2020-01-01 17:00:00,2020-01-01 10:14:00,4.6923
5622220,646768,booked_canceled_driver,1,GB,London,private,,2020-01-01 9:30:00,2020-01-01 20:30:00,,4.25
5622221,540448,ended,1,FR,Paris,public,125,2020-01-01 12:30:00,2020-01-01 19:30:00,2020-01-01 12:34:00,
5622222,563062,ended,0,FR,Melun,public,191,2020-01-03 19:00:00,2020-01-05 19:00:00,2020-01-03 19:02:00,
5622223,524376,ended,1,FR,Paris,private,4,2020-01-02 11:30:00,2020-01-03 11:30:00,2020-01-02 11:31:00,4.7037
5622224,618879,ended,1,DE,Berlin,public,5178,2020-01-25 10:30:00,2020-01-26 12:30:00,2020-01-25 10:31:00,
5622225,523659,booked_canceled_driver,0,FR,Courbevoie,public,,2020-01-01 10:30:00,2020-01-01 16:30:00,,4.2857
5622226,374814,ended,1,FR,Marseille,public,2590,2020-01-02 14:00:00,2020-01-02 18:00:00,2020-01-02 14:01:00,4.7234
5622227,531973,ended,1,FR,Lille,private,24,2020-01-02 14:30:00,2020-01-03 16:30:00,2020-01-02 14:37:00,4.7368
5622228,540647,ended,1,ES,Barcelona,private,36,2020-01-17 11:00:00,2020-01-19 20:00:00,2020-01-17 11:02:00,4.8974
5622229,537527,ended,1,FR,Marseille,private,10,2020-01-03 7:00:00,2020-01-07 8:00:00,2020-01-03 7:08:00,4.5238
